Name;x;y;z
Gliese 424;0.262;1.494;3.383
Gliese 588;-1.453;1.092;-1.596
GJ 2069;3.888;3.027;1.735
Gliese 127.1;1.116;-1.018;-3.854
Gliese 393;1.141;2.718;0.043
Gliese 250;3.441;0.798;-0.32
Gliese 257;2.268;0.584;-2.285
Gliese 450;0.11;2.845;2.014
NN 3379;2.186;0;0.103
Lalande 21185;0.206;0.815;0.61
NN 3991;-2.087;0.466;2.043
NN 3992;-3.756;0.806;3.049
Lambda Aurigae;3.881;-0.699;3.321
Sirius;1.01;0.201;-0.309
Gliese 514;-1.17;2.826;0.56
Gliese 453;0.033;3.677;-1.931
Gliese 519;-1.489;3.287;2.595
NN 3737;-0.388;2.267;-1.82
Gliese 320;2.675;2.311;-2.851
LHS 288;0.285;0.834;-1.604
GJ 1088;3.944;0.187;-3.736
Gliese 638;-3.146;1.065;2.199
1 Orionis;3.097;-0.979;0.397
NN 3192;2.996;-2.948;-1.252
NN 3193;2.126;-2.092;-0.888
Gliese 633;-2.547;0.917;-2.804
NN 3928;-3.1;1.871;2.554
Gliese 518;-1.364;3.037;0.215
GJ 1138;0.976;3.087;2.315
NN 3849;-2.171;2.861;2.349
GJ 1134;1.124;3.163;2.587
55 Cancri;3.281;3.075;2.425
HD 122064;-0.965;1.713;3.62
GJ 1253;-1.588;-1.176;3.233
p Eridani;0.779;-1.676;-2.76
GJ 1256;-2.957;-2.492;1.072
NN 4070;-3.864;-0.716;2.44
Gliese 183;3.457;-0.914;-0.36
Gliese 185;3.136;-0.805;-1.259
NN 4078;-2.382;-0.524;-3.818
Gliese 829;-1.599;-2.076;0.833
NN 4274;-1.189;-2.643;-0.919
Gliese 747;-2.683;-0.815;1.788
Gliese 745;-3.146;-0.948;1.254
GJ 1005;0.138;-2.037;-0.59
GJ 1004;0.153;-2.859;3.465
Gliese 803;-2.601;-2.284;-2.108
Kapteyn's Star;1.104;-0.237;-1.129
GJ 1002;0.056;-1.9;-0.251
Ross 248;-0.073;-0.924;0.901
Gliese 892;-0.292;-1.413;2.236
Gamma Pavonis;-0.973;-1.228;-3.416
40 Eridani;1.829;-0.9;-0.274
Gliese 896;-0.293;-2.377;0.869
GJ 1123;0.457;0.529;-3.24
Gliese 877;-0.244;-0.848;-3.401
NN 3533;3.155;3.355;-1.874
GJ 1087;3.244;-0.05;0.305
Chi Draconis;-0.971;-0.089;3.137
Gliese 117;2.822;-3.012;-0.935
Gliese 116;3.271;-3.504;3.281
107 Piscium;1.235;-2.575;1.055
Gliese 299;2.284;1.481;0.424
AD Leonis;0.797;1.703;0.68
Groombridge 34;0.084;-1.043;1.011
Gliese 809;-0.976;-0.922;2.54
Gliese 555;-1.518;1.903;-0.541
Gliese 806;-2.732;-2.397;3.571
33 G. Lib;-1.567;1.603;-0.879
Gliese 412;0.336;1.388;1.357
Gliese 361;2.566;3.705;1.058
Epsilon Indi;-0.395;-0.707;-1.237
Gliese 203;3.46;-0.486;0.594
Xi Boötis;-1.755;1.892;0.894
Gliese 205;2.297;-0.288;-0.149
NN 3976;-3.598;1.118;1.557
Alpha Centauri;-0.172;0.204;-0.48
NN 3801;-1.344;2.795;2.036
NN 3804;-1.97;3.957;-1.434
Gliese 521;-1.573;3.396;3.9
Gliese 526;-0.952;1.916;0.569
96 G. Psc;0.635;-2.962;0.28
NN 3378;1.56;0.008;2.66
NN 3270;3.822;-1.837;0.659
